,년도,월,Model,판매량
0,2022,1,Kona (SX2 EV),0
1,2022,1,Kona (SX2 HEV),0
2,2022,1,IONIQ 6 (CE),0
3,2022,1,Grandeur (GN7),0
4,2022,1,Santa-Fe (MX5),0
5,2022,1,G70 S/B (IK S/B),0
6,2022,1,GV80 Coupe (JX Coupe),0
7,2022,1,Grandeur (GN7 HEV),0
8,2022,1,IONIQ 5 N (NE N),0
9,2022,1,Kona (SX2),0
10,2022,1,Casper (AX EV),0
11,2022,1,Santa-Fe (MX5 HEV),0
12,2022,1,GV70 (JK EV),0
13,2022,1,Niro Plus,0
14,2022,1,EV3,0
15,2022,1,EV9,0
16,2022,1,Bongo,0
17,2022,2,Kona (SX2 EV),0
18,2022,2,Kona (SX2 HEV),0
19,2022,2,IONIQ 6 (CE),0
20,2022,2,Grandeur (GN7),0
21,2022,2,Santa-Fe (MX5),0
22,2022,2,G70 S/B (IK S/B),0
23,2022,2,GV80 Coupe (JX Coupe),0
24,2022,2,Grandeur (GN7 HEV),0
25,2022,2,IONIQ 5 N (NE N),0
26,2022,2,Kona (SX2),0
27,2022,2,Casper (AX EV),0
28,2022,2,Santa-Fe (MX5 HEV),0
29,2022,2,GV70 (JK EV),0
30,2022,2,Niro Plus,0
31,2022,2,EV3,0
32,2022,2,EV9,0
33,2022,2,Bongo,0
34,2022,3,Kona (SX2 EV),0
35,2022,3,Kona (SX2 HEV),0
36,2022,3,IONIQ 6 (CE),0
37,2022,3,Grandeur (GN7),0
38,2022,3,Santa-Fe (MX5),0
39,2022,3,G70 S/B (IK S/B),0
40,2022,3,GV80 Coupe (JX Coupe),0
41,2022,3,Grandeur (GN7 HEV),0
42,2022,3,IONIQ 5 N (NE N),0
43,2022,3,Kona (SX2),0
44,2022,3,Casper (AX EV),0
45,2022,3,Santa-Fe (MX5 HEV),0
46,2022,3,GV70 (JK EV),94
47,2022,3,Niro Plus,0
48,2022,3,EV3,0
49,2022,3,EV9,0
50,2022,3,Bongo,0
51,2022,4,Kona (SX2 EV),0
52,2022,4,Kona (SX2 HEV),0
53,2022,4,IONIQ 6 (CE),0
54,2022,4,Grandeur (GN7),0
55,2022,4,Santa-Fe (MX5),0
56,2022,4,G70 S/B (IK S/B),0
57,2022,4,GV80 Coupe (JX Coupe),0
58,2022,4,Grandeur (GN7 HEV),0
59,2022,4,IONIQ 5 N (NE N),0
60,2022,4,Kona (SX2),0
61,2022,4,Casper (AX EV),0
62,2022,4,Santa-Fe (MX5 HEV),0
63,2022,4,GV70 (JK EV),414
64,2022,4,Niro Plus,0
65,2022,4,EV3,0
66,2022,4,EV9,0
67,2022,4,Bongo,0
68,2022,5,Kona (SX2 EV),0
69,2022,5,Kona (SX2 HEV),0
70,2022,5,IONIQ 6 (CE),0
71,2022,5,Grandeur (GN7),0
72,2022,5,Santa-Fe (MX5),0
73,2022,5,G70 S/B (IK S/B),0
74,2022,5,GV80 Coupe (JX Coupe),0
75,2022,5,Grandeur (GN7 HEV),0
76,2022,5,IONIQ 5 N (NE N),0
77,2022,5,Kona (SX2),0
78,2022,5,Casper (AX EV),0
79,2022,5,Santa-Fe (MX5 HEV),0
80,2022,5,GV70 (JK EV),544
81,2022,5,Niro Plus,203
82,2022,5,EV3,0
83,2022,5,EV9,0
84,2022,5,Bongo,0
85,2022,6,Kona (SX2 EV),0
86,2022,6,Kona (SX2 HEV),0
87,2022,6,IONIQ 6 (CE),0
88,2022,6,Grandeur (GN7),0
89,2022,6,Santa-Fe (MX5),0
90,2022,6,G70 S/B (IK S/B),51
91,2022,6,GV80 Coupe (JX Coupe),0
92,2022,6,Grandeur (GN7 HEV),0
93,2022,6,IONIQ 5 N (NE N),0
94,2022,6,Kona (SX2),0
95,2022,6,Casper (AX EV),0
96,2022,6,Santa-Fe (MX5 HEV),0
97,2022,6,GV70 (JK EV),485
98,2022,6,Niro Plus,939
99,2022,6,EV3,0
100,2022,6,EV9,0
101,2022,6,Bongo,0
102,2022,7,Kona (SX2 EV),0
103,2022,7,Kona (SX2 HEV),0
104,2022,7,IONIQ 6 (CE),0
105,2022,7,Grandeur (GN7),0
106,2022,7,Santa-Fe (MX5),0
107,2022,7,G70 S/B (IK S/B),200
108,2022,7,GV80 Coupe (JX Coupe),0
109,2022,7,Grandeur (GN7 HEV),0
110,2022,7,IONIQ 5 N (NE N),0
111,2022,7,Kona (SX2),0
112,2022,7,Casper (AX EV),0
113,2022,7,Santa-Fe (MX5 HEV),0
114,2022,7,GV70 (JK EV),337
115,2022,7,Niro Plus,923
116,2022,7,EV3,0
117,2022,7,EV9,0
118,2022,7,Bongo,0
119,2022,8,Kona (SX2 EV),0
120,2022,8,Kona (SX2 HEV),0
121,2022,8,IONIQ 6 (CE),8
122,2022,8,Grandeur (GN7),0
123,2022,8,Santa-Fe (MX5),0
124,2022,8,G70 S/B (IK S/B),115
125,2022,8,GV80 Coupe (JX Coupe),0
126,2022,8,Grandeur (GN7 HEV),0
127,2022,8,IONIQ 5 N (NE N),0
128,2022,8,Kona (SX2),0
129,2022,8,Casper (AX EV),0
130,2022,8,Santa-Fe (MX5 HEV),0
131,2022,8,GV70 (JK EV),331
132,2022,8,Niro Plus,832
133,2022,8,EV3,0
134,2022,8,EV9,0
135,2022,8,Bongo,0
136,2022,9,Kona (SX2 EV),0
137,2022,9,Kona (SX2 HEV),0
138,2022,9,IONIQ 6 (CE),2652
139,2022,9,Grandeur (GN7),0
140,2022,9,Santa-Fe (MX5),0
141,2022,9,G70 S/B (IK S/B),126
142,2022,9,GV80 Coupe (JX Coupe),0
143,2022,9,Grandeur (GN7 HEV),0
144,2022,9,IONIQ 5 N (NE N),0
145,2022,9,Kona (SX2),0
146,2022,9,Casper (AX EV),0
147,2022,9,Santa-Fe (MX5 HEV),0
148,2022,9,GV70 (JK EV),240
149,2022,9,Niro Plus,935
150,2022,9,EV3,0
151,2022,9,EV9,0
152,2022,9,Bongo,0
153,2022,10,Kona (SX2 EV),0
154,2022,10,Kona (SX2 HEV),0
155,2022,10,IONIQ 6 (CE),3667
156,2022,10,Grandeur (GN7),0
157,2022,10,Santa-Fe (MX5),0
158,2022,10,G70 S/B (IK S/B),124
159,2022,10,GV80 Coupe (JX Coupe),0
160,2022,10,Grandeur (GN7 HEV),0
161,2022,10,IONIQ 5 N (NE N),0
162,2022,10,Kona (SX2),0
163,2022,10,Casper (AX EV),0
164,2022,10,Santa-Fe (MX5 HEV),0
165,2022,10,GV70 (JK EV),173
166,2022,10,Niro Plus,544
167,2022,10,EV3,0
168,2022,10,EV9,0
169,2022,10,Bongo,0
170,2022,11,Kona (SX2 EV),0
171,2022,11,Kona (SX2 HEV),0
172,2022,11,IONIQ 6 (CE),3905
173,2022,11,Grandeur (GN7),1023
174,2022,11,Santa-Fe (MX5),0
175,2022,11,G70 S/B (IK S/B),106
176,2022,11,GV80 Coupe (JX Coupe),0
177,2022,11,Grandeur (GN7 HEV),0
178,2022,11,IONIQ 5 N (NE N),0
179,2022,11,Kona (SX2),0
180,2022,11,Casper (AX EV),0
181,2022,11,Santa-Fe (MX5 HEV),0
182,2022,11,GV70 (JK EV),234
183,2022,11,Niro Plus,260
184,2022,11,EV3,0
185,2022,11,EV9,0
186,2022,11,Bongo,0
187,2022,12,Kona (SX2 EV),0
188,2022,12,Kona (SX2 HEV),0
189,2022,12,IONIQ 6 (CE),1057
190,2022,12,Grandeur (GN7),7486
191,2022,12,Santa-Fe (MX5),0
192,2022,12,G70 S/B (IK S/B),81
193,2022,12,GV80 Coupe (JX Coupe),0
194,2022,12,Grandeur (GN7 HEV),1154
195,2022,12,IONIQ 5 N (NE N),0
196,2022,12,Kona (SX2),0
197,2022,12,Casper (AX EV),0
198,2022,12,Santa-Fe (MX5 HEV),0
199,2022,12,GV70 (JK EV),100
200,2022,12,Niro Plus,77
201,2022,12,EV3,0
202,2022,12,EV9,0
203,2022,12,Bongo,0
204,2023,1,Kona (SX2 EV),0
205,2023,1,Kona (SX2 HEV),0
206,2023,1,IONIQ 6 (CE),23
207,2023,1,Grandeur (GN7),5407
208,2023,1,Santa-Fe (MX5),0
209,2023,1,G70 S/B (IK S/B),49
210,2023,1,GV80 Coupe (JX Coupe),0
211,2023,1,Grandeur (GN7 HEV),3711
212,2023,1,IONIQ 5 N (NE N),0
